time,FLOW
2014-01-05,0.0215
2014-01-06,0.0227
2014-01-07,0.0409
2014-01-08,0.0346
2014-01-09,0.0214
2014-01-10,0.0215
2014-01-11,0.0303
2014-01-12,0.0365
2014-01-13,0.029
2014-01-14,0.0262
2014-01-15,0.0257
2014-01-16,0.0249
2014-01-17,0.0237
2014-01-18,0.0243
2014-01-19,0.0231
2014-01-20,0.0222
2014-01-21,0.0217
2014-01-22,0.0262
2014-01-23,0.0263
2014-01-24,0.0495
2014-01-25,0.0435
2014-01-26,0.0226
2014-01-27,0.0218
2014-01-28,0.0249
2014-01-29,0.025
2014-01-30,0.03
2014-01-31,0.0213
2014-02-01,0.02
2014-02-02,0.0195
2014-02-03,0.0402
2014-02-04,0.0347
2014-02-05,0.0281
2014-02-06,0.0273
2014-02-07,0.0248
2014-02-08,0.0238
2014-02-09,0.0231
2014-02-10,0.023
2014-02-11,0.0229
2014-02-12,0.0249
2014-02-13,0.0794
2014-02-14,0.0317
2014-02-15,0.0241
2014-02-16,0.0233
2014-02-17,0.0217
2014-02-18,0.0218
2014-02-19,0.0269
2014-02-20,0.032
2014-02-21,0.0465
2014-02-22,0.0432
2014-02-23,0.0331
2014-02-24,0.0292
2014-02-25,0.027
2014-02-26,0.0265
2014-02-27,0.0264
2014-02-28,0.0251
2014-03-01,0.0238
2014-03-02,0.0235
2014-03-03,0.0348
2014-03-04,0.0327
2014-03-05,0.0288
2014-03-06,0.0267
2014-03-07,0.0269
2014-03-08,0.021
2014-03-09,0.013
2014-03-10,0.0125
2014-03-11,0.0124
2014-03-12,0.0123
2014-03-13,0.0133
2014-03-14,0.0113
2014-03-15,0.0105
2014-03-16,0.011
2014-03-17,0.0123
2014-03-18,0.012
2014-03-19,0.0128
2014-03-20,0.0148
2014-03-21,0.0169
2014-03-22,0.019
2014-03-23,0.0211
2014-03-24,0.0231
2014-03-25,0.0252
2014-03-26,0.0273
2014-03-27,0.0293
2014-03-28,0.0314
2014-03-29,0.0335
2014-03-30,0.0356
2014-03-31,0.0376
2014-04-01,0.0397
2014-04-02,0.0418
2014-04-03,0.0439
2014-04-04,0.0459
2014-04-05,0.048
2014-04-06,0.0501
2014-04-07,0.0521
2014-04-08,0.0542
2014-04-09,0.0563
2014-04-10,0.0584
2014-04-11,0.0604
2014-04-12,0.0625
2014-04-13,0.0646
2014-04-14,0.0666
2014-04-15,0.0687
2014-04-16,0.0708
2014-04-17,0.0729
2014-04-18,0.0749
2014-04-19,0.077
2014-04-20,0.0791
2014-04-21,0.0812
2014-04-22,0.0832
2014-04-23,0.0853
2014-04-24,0.0874
2014-04-25,0.0894
2014-04-26,0.0915
2014-04-27,0.0936
2014-04-28,0.0957
2014-04-29,0.0977
2014-04-30,0.0986
2014-05-01,0.1001
2014-05-02,0.0949
2014-05-03,0.0938
2014-05-04,0.0936
2014-05-05,0.0926
2014-05-06,0.0939
2014-05-07,0.0955
2014-05-08,0.0964
2014-05-09,0.0962
2014-05-10,0.0954
2014-05-11,0.0948
2014-05-12,0.0947
2014-05-13,0.0958
2014-05-14,0.0943
2014-05-15,0.1004
2014-05-16,0.1148
2014-05-17,0.1002
2014-05-18,0.0972
2014-05-19,0.0961
2014-05-20,0.0958
2014-05-21,0.0965
2014-05-22,0.0961
2014-05-23,0.0947
2014-05-24,0.094
2014-05-25,0.094
2014-05-26,0.0952
2014-05-27,0.0978
2014-05-28,0.1
2014-05-29,0.0986
2014-05-30,0.0994
2014-05-31,0.0997
2014-06-01,0.0981
2014-06-02,0.0993
2014-06-03,0.0999
2014-06-04,0.1005
2014-06-05,0.1033
2014-06-06,0.0993
2014-06-07,0.0976
2014-06-08,0.0971
2014-06-09,0.097
2014-06-10,0.0967
2014-06-11,0.0986
2014-06-12,0.1031
2014-06-13,0.0978
2014-06-14,0.0975
2014-06-15,0.0951
2014-06-16,0.0958
2014-06-17,0.0966
