time,FLOW,TEMP,SALT,TRC_tr1,TRC_age,NCS_ss1,NCS_ss2,OXY_oxy,CAR_dic,CAR_pH,CAR_ch4,CAR_ch4_bub,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP,BIV_filtfrac
2013-05-16,0.0152,15.2891,0,0,0,1,1,294.6262,62.8392,6.88,0.0115,0,120.9013,0.388,0.7419,0.1264,0.0253,14.9875,21.7319,1.157,2.3141,0.0182,0.4246,202.3314,10.4132,0.1638,21.7319,0,0,0,0,0,0,0,0,0,0
2013-05-17,0.0141,15.3267,0,0,0,1,1,294.3877,62.8526,6.88,0.0121,0,120.9013,0.3788,0.7592,0.1271,0.0254,14.9862,21.73,1.1554,2.3109,0.0195,0.4551,202.3136,10.399,0.1755,21.73,0,0,0,0,0,0,0,0,0,0
2013-05-18,0.017,15.0142,0,0,0,1,1,296.3806,62.866,6.88,0.0126,0,120.9013,0.3695,0.7765,0.1279,0.0256,14.9849,21.7281,1.1539,2.3077,0.0208,0.4856,202.2958,10.3847,0.1873,21.7281,0,0,0,0,0,0,0,0,0,0
2013-05-19,0.0186,14.6304,0,0,0,1,1,298.8612,62.8794,6.88,0.0132,0,120.9013,0.3603,0.7938,0.1286,0.0257,14.9836,21.7262,1.1523,2.3045,0.0221,0.516,202.2779,10.3704,0.199,21.7262,0,0,0,0,0,0,0,0,0,0
2013-05-20,0.0413,14.4457,0,0,0,1,1,300.0683,62.8928,6.88,0.0138,0,120.9013,0.3511,0.8111,0.1294,0.0259,14.9822,21.7242,1.1507,2.3014,0.0234,0.5465,202.2601,10.3561,0.2108,21.7242,0,0,0,0,0,0,0,0,0,0
2013-05-21,0.0278,14.9861,0,0,0,1,1,296.5605,62.9062,6.88,0.0144,0,120.9013,0.3418,0.8283,0.1301,0.026,14.9809,21.7223,1.1491,2.2982,0.0247,0.577,202.2423,10.3418,0.2226,21.7223,0,0,0,0,0,0,0,0,0,0
2013-05-22,0.0207,16.0322,0,0,0,1,1,289.9751,62.9196,6.88,0.015,0,120.9013,0.3326,0.8456,0.1309,0.0262,14.9796,21.7204,1.1475,2.295,0.026,0.6075,202.2245,10.3275,0.2343,21.7204,0,0,0,0,0,0,0,0,0,0
2013-05-23,0.0195,15.7351,0,0,0,1,1,291.8187,62.933,6.88,0.0155,0,120.9013,0.3234,0.8629,0.1316,0.0263,14.9783,21.7185,1.1459,2.2918,0.0273,0.6379,202.2067,10.3133,0.2461,21.7185,0,0,0,0,0,0,0,0,0,0
2013-05-24,0.0194,14.3636,0,0,0,1,1,300.6075,62.9464,6.88,0.016,0,120.9013,0.3141,0.8802,0.1324,0.0265,14.977,21.7166,1.1443,2.2887,0.0279,0.651,202.1889,10.299,0.2511,21.7166,0,0,0,0,0,0,0,0,0,0
2013-05-25,0.0164,11.7835,0,0,0,1,1,318.482,62.9598,6.88,0.0163,0,120.9013,0.3049,0.8975,0.1331,0.0266,14.9756,21.7147,1.1427,2.2855,0.0285,0.664,202.1711,10.2847,0.2561,21.7147,0,0,0,0,0,0,0,0,0,0
2013-05-26,0.0151,12.5138,0,0,0,1,1,313.2351,62.9732,6.88,0.0165,0,120.9013,0.2956,0.9147,0.1339,0.0268,14.9743,21.7128,1.1412,2.2823,0.029,0.677,202.1533,10.2704,0.2611,21.7128,0,0,0,0,0,0,0,0,0,0
2013-05-27,0.0142,12.8518,0,0,0,1,1,310.858,62.9866,6.88,0.0167,0,120.9013,0.2864,0.932,0.1346,0.0269,14.973,21.7108,1.1396,2.2791,0.0296,0.6901,202.1354,10.2561,0.2662,21.7108,0,0,0,0,0,0,0,0,0,0
2013-05-28,0.0141,14.5001,0,0,0,1,1,299.712,63,6.88,0.0169,0,120.9013,0.2772,0.9493,0.1354,0.0271,14.9717,21.7089,1.138,2.276,0.0301,0.7031,202.1176,10.2418,0.2712,21.7089,0,0,0,0,0,0,0,0,0,0
2013-05-29,0.014,16.0369,0,0,0,1,1,289.9462,63.0134,6.88,0.0171,0,120.9013,0.2679,0.9666,0.1361,0.0272,14.9704,21.707,1.1364,2.2728,0.0307,0.7161,202.0998,10.2276,0.2762,21.707,0,0,0,0,0,0,0,0,0,0
2013-05-30,0.0132,16.7321,0,0,0,1,1,285.7133,63.0268,6.88,0.018,0,120.9013,0.2587,0.9839,0.1369,0.0274,14.969,21.7051,1.1348,2.2696,0.0313,0.7292,202.082,10.2133,0.2813,21.7051,0,0,0,0,0,0,0,0,0,0
2013-05-31,0.0142,17.0495,0,0,0,1,1,283.8173,63.0402,6.88,0.0189,0,120.9013,0.2494,1.0012,0.1376,0.0275,14.9677,21.7032,1.1332,2.2664,0.0311,0.7264,202.0642,10.199,0.2802,21.7032,0,0,0,0,0,0,0,0,0,0
2013-06-01,0.0136,17.2396,0,0,0,1,1,282.6924,63.0536,6.88,0.0252,0,120.9013,0.2402,1.0184,0.1384,0.0277,14.9664,21.7013,1.1316,2.2633,0.031,0.7236,202.0464,10.1847,0.2791,21.7013,0,0,0,0,0,0,0,0,0,0
2013-06-02,0.0169,17.1595,0,0,0,1,1,283.1654,63.067,6.88,0.025,0,120.9013,0.231,1.0357,0.1391,0.0278,14.9651,21.6994,1.13,2.2601,0.0309,0.7208,202.0286,10.1704,0.278,21.6994,0,0,0,0,0,0,0,0,0,0
2013-06-03,0.0159,16.7891,0,0,0,1,1,285.3712,63.0804,6.88,0.0249,0,120.9013,0.2217,1.053,0.1399,0.028,14.9638,21.6974,1.1285,2.2569,0.0308,0.718,202.0107,10.1561,0.277,21.6974,0,0,0,0,0,0,0,0,0,0
2013-06-04,0.0136,16.4393,0,0,0,1,1,287.4826,63.0938,6.88,0.0247,0,120.9013,0.2125,1.0703,0.1406,0.0281,14.9624,21.6955,1.1269,2.2537,0.0307,0.7152,201.9929,10.1418,0.2759,21.6955,0,0,0,0,0,0,0,0,0,0
2013-06-05,0.0123,16.1639,0,0,0,1,1,289.1647,63.1072,6.88,0.0246,0,120.9013,0.2033,1.0876,0.1414,0.0283,14.9611,21.6936,1.1253,2.2506,0.0305,0.7125,201.9751,10.1276,0.2748,21.6936,0,0,0,0,0,0,0,0,0,0
2013-06-06,0.0486,15.4833,0,0,0,1,1,293.3975,63.1206,6.88,0.0231,0,120.9013,0.194,1.1048,0.1421,0.0284,14.9598,21.6917,1.1237,2.2474,0.0304,0.7097,201.9573,10.1133,0.2737,21.6917,0,0,0,0,0,0,0,0,0,0
2013-06-07,0.0498,14.903,0,0,0,1,1,297.0953,63.134,6.88,0.0217,0,120.9013,0.1848,1.1221,0.1429,0.0286,14.9585,21.6898,1.1221,2.2442,0.0303,0.7069,201.9395,10.099,0.2727,21.6898,0,0,0,0,0,0,0,0,0,0
2013-06-08,0.0358,15.2952,0,0,0,1,1,294.5872,63.1474,6.88,0.0215,0,120.9013,0.1755,1.1394,0.1437,0.0287,14.9572,21.6879,1.1205,2.241,0.0302,0.7041,201.9217,10.0847,0.2716,21.6879,0,0,0,0,0,0,0,0,0,0
2013-06-09,0.0251,16.1209,0,0,0,1,1,289.4284,63.1608,6.88,0.0212,0,120.9013,0.1663,1.1567,0.1444,0.0289,14.9558,21.686,1.1189,2.2379,0.0301,0.7013,201.9039,10.0704,0.2705,21.686,0,0,0,0,0,0,0,0,0,0
2013-06-10,0.0272,16.7489,0,0,0,1,1,285.6123,63.1742,6.88,0.0209,0,120.9013,0.1571,1.174,0.1452,0.029,14.9545,21.6841,1.1173,2.2347,0.0299,0.6985,201.886,10.0561,0.2694,21.6841,0,0,0,0,0,0,0,0,0,0
2013-06-11,0.0292,16.3708,0,0,0,1,1,287.8989,63.1876,6.88,0.0211,0,120.9013,0.1478,1.1912,0.1459,0.0292,14.9532,21.6821,1.1158,2.2315,0.0298,0.6957,201.8682,10.0419,0.2684,21.6821,0,0,0,0,0,0,0,0,0,0
2013-06-12,0.0239,16.975,0,0,0,1,1,284.2602,63.201,6.88,0.0195,0,120.9013,0.1386,1.2085,0.1467,0.0293,14.9519,21.6802,1.1142,2.2283,0.0297,0.6929,201.8504,10.0276,0.2673,21.6802,0,0,0,0,0,0,0,0,0,0
2013-06-13,0.0221,18.0383,0,0,0,1,1,278.0521,63.2144,6.88,0.0186,0,120.9013,0.1293,1.2258,0.1474,0.0295,14.9506,21.6783,1.1126,2.2252,0.0296,0.6902,201.8326,10.0133,0.2662,21.6783,0,0,0,0,0,0,0,0,0,0
2013-06-14,0.0189,16.4772,0,0,0,1,1,287.2524,63.2279,6.88,0.0177,0,120.9013,0.1201,1.2431,0.1482,0.0296,14.9492,21.6764,1.111,2.222,0.03,0.6998,201.8148,9.999,0.2699,21.6764,0,0,0,0,0,0,0,0,0,0
