time,flow,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_doc,OGM_poc,PHY_green,PHY_crypto,PHY_diatom
2011-07-01 00:00:00,78364.800000,    5.100000,    0.500000,  200.178895,   12.500000,   12.700000,   23.500000,    0.290000,    1.300000,    8.300000,    1.500000,    8.300000,   39.900000,   78.500000,    0.040000,    0.000000,    0.000000
2011-07-02 00:00:00,77716.800000,    4.953294,    0.501028,  210.443840,   12.492905,   13.006797,   23.705789,    0.833545,    1.397523,    6.499876,    1.597043,    6.489199,   40.779714,   63.384461,    0.043191,    0.000000,    0.000000
2011-07-03 00:00:00,76204.800000,    4.729191,    0.502158,  277.947703,   12.481018,   13.313657,   23.925205,    1.233626,    1.472818,    5.093323,    1.671705,    5.077531,   41.463606,   51.085501,    0.046243,    0.000000,    0.000000
2011-07-04 00:00:00,74476.800000,    4.662924,    0.500513,  315.753070,   12.434650,   13.565752,   24.108159,    1.507452,    1.528409,    4.018037,    1.726118,    4.000568,   41.901611,   41.310150,    0.049344,    0.000000,    0.000000
2011-07-05 00:00:00,76464.000000,    4.313158,    0.498951,  343.204920,   12.378287,   13.800086,   24.278897,    1.670538,    1.569253,    3.223731,    1.765636,    3.206765,   42.182421,   33.762419,    0.052339,    0.000000,    0.000000
2011-07-06 00:00:00,108216.000000,    3.185564,    0.499869,  393.188243,   12.336336,   14.056502,   24.476152,    1.688055,    1.601342,    2.715742,    1.796689,    2.701188,   42.410650,   28.496139,    0.055545,    0.000000,    0.000000
2011-07-07 00:00:00,129427.200000,    2.832271,    0.501233,  400.888163,   12.298485,   14.262674,   24.662178,    1.689403,    1.626445,    2.407032,    1.820896,    2.394120,   42.578578,   25.256817,    0.059482,    0.000000,    0.000000
2011-07-08 00:00:00,127008.000000,    2.400217,    0.502994,  407.441077,   12.262897,   14.608081,   24.870337,    1.691870,    1.645837,    1.960643,    1.839435,    1.950112,   42.688425,   20.572836,    0.064029,    0.000000,    0.000000
2011-07-09 00:00:00,135561.600000,    1.962815,    0.504817,  422.139347,   12.217831,   14.874121,   25.048752,    1.692091,    1.659903,    1.674138,    1.852545,    1.665133,   42.725660,   17.566521,    0.068123,    0.000000,    0.000000
2011-07-10 00:00:00,144979.200000,    1.627595,    0.505668,  425.974858,   12.159647,   15.127906,   25.195993,    1.690019,    1.668460,    1.431619,    1.859967,    1.423905,   42.678962,   15.021751,    0.072021,    0.000000,    0.000000
2011-07-11 00:00:00,155520.000000,    1.448265,    0.506991,  423.030844,   12.104447,   15.382556,   25.348198,    1.687831,    1.674585,    1.226036,    1.865021,    1.219415,   42.613197,   12.864542,    0.076439,    0.000000,    0.000000
2011-07-12 00:00:00,170553.600000,    1.284571,    0.508510,  420.532077,   12.044237,   15.624995,   25.489866,    1.684640,    1.677675,    1.050401,    1.866975,    1.044713,   42.505503,   11.021582,    0.081289,    0.000000,    0.000000
2011-07-13 00:00:00,172886.400000,    1.136149,    0.510167,  418.422679,   11.980240,   15.860851,   25.622499,    1.680671,    1.678267,    0.900658,    1.866384,    0.895765,   42.363942,    9.450305,    0.086708,    0.000000,    0.000000
2011-07-14 00:00:00,166449.600000,    1.001271,    0.511881,  416.712793,   11.914813,   16.092046,   25.751510,    1.676250,    1.677007,    0.772712,    1.863928,    0.768497,   42.200191,    8.107748,    0.092681,    0.000000,    0.000000
2011-07-15 00:00:00,161438.400000,    0.863961,    0.513432,  417.055687,   11.853920,   16.328747,   25.889644,    1.672239,    1.674999,    0.663709,    1.860804,    0.660070,   42.038095,    6.963946,    0.099410,    0.000000,    0.000000
2011-07-16 00:00:00,147744.000000,    0.867681,    0.515622,  413.844356,   11.806531,   16.606188,   26.033583,    1.669961,    1.673694,    0.589776,    1.858592,    0.586522,   41.910183,    6.188131,    0.107024,    0.000000,    0.000000
2011-07-17 00:00:00,140097.600000,    0.711783,    0.517352,  415.716339,   11.769911,   16.849322,   26.248732,    1.668582,    1.672981,    0.488789,    1.857164,    0.486072,   41.813011,    5.128464,    0.115181,    0.000000,    0.000000
2011-07-18 00:00:00,138542.400000,    0.780721,    0.518120,  417.843232,   11.721735,   17.087661,   26.420969,    1.665460,    1.669844,    0.420575,    1.853129,    0.418215,   41.665822,    4.412667,    0.123720,    0.000000,    0.000000
2011-07-19 00:00:00,137462.400000,    0.903613,    0.519730,  415.943250,   11.687066,   17.281165,   26.620365,    1.663754,    1.668076,    0.373823,    1.850686,    0.371702,   41.561906,    3.922061,    0.133906,    0.000000,    0.000000
2011-07-20 00:00:00,139190.400000,    0.891929,    0.520979,  417.269172,   11.650901,   17.580753,   26.837652,    1.662356,    1.665307,    0.311206,    1.847203,    0.309413,   41.442102,    3.264994,    0.144105,    0.000000,    0.000000
2011-07-21 00:00:00,140097.600000,    0.667253,    0.522192,  425.402417,   11.612652,   17.816479,   27.043951,    1.660480,    1.661844,    0.267887,    1.843007,    0.266316,   41.312238,    2.810416,    0.155698,    0.000000,    0.000000
2011-07-22 00:00:00,138456.000000,    0.633241,    0.523634,  430.523970,   11.575608,   18.051350,   27.254157,    1.658406,    1.658127,    0.230790,    1.838581,    0.229408,   41.182605,    2.421128,    0.170737,    0.000000,    0.000000
2011-07-23 00:00:00,137548.800000,    0.721163,    0.525292,  428.919409,   11.540297,   18.221080,   27.460932,    1.656080,    1.654392,    0.206279,    1.834174,    0.205010,   41.057597,    2.163869,    0.188727,    0.000000,    0.000000
2011-07-24 00:00:00,136252.800000,    0.844396,    0.526904,  425.737771,   11.506507,   18.447210,   27.669808,    1.654111,    1.650467,    0.179421,    1.829588,    0.178281,   40.932022,    1.882010,    0.208360,    0.000000,    0.000000
2011-07-25 00:00:00,133704.000000,    0.856927,    0.528405,  423.253193,   11.476190,   18.677560,   27.931216,    1.652459,    1.646708,    0.148236,    1.825229,    0.147254,   40.816016,    1.554763,    0.233262,    0.000000,    0.000000
2011-07-26 00:00:00,130248.000000,    0.920643,    0.530021,  420.758159,   11.442306,   18.885105,   28.157083,    1.650215,    1.642229,    0.128999,    1.820091,    0.128100,   40.684588,    1.352852,    0.256936,    0.000000,    0.000000
2011-07-27 00:00:00,128779.200000,    0.882154,    0.531226,  421.685668,   11.412118,   19.152351,   28.411614,    1.648620,    1.637997,    0.107596,    1.815249,    0.106798,   40.562402,    1.128236,    0.287539,    0.000000,    0.000000
2011-07-28 00:00:00,126792.000000,    0.881707,    0.532584,  423.749977,   11.386348,   19.379613,   28.672987,    1.647309,    1.634292,    0.091945,    1.811009,    0.091211,   40.455635,    0.963951,    0.319786,    0.000000,    0.000000
2011-07-29 00:00:00,120787.200000,    1.219189,    0.533571,  429.195381,   11.359856,   19.583273,   28.940340,    1.645436,    1.630372,    0.079182,    1.806545,    0.078491,   40.345435,    0.829954,    0.352520,    0.000000,    0.000000
2011-07-30 00:00:00,112968.000000,    1.536192,    0.534554,  428.531771,   11.335704,   19.774167,   29.227562,    1.643854,    1.626662,    0.068086,    1.802323,    0.067424,   40.241931,    0.713428,    0.389471,    0.000000,    0.000000
2011-07-31 00:00:00,106660.800000,    1.790902,    0.535445,  427.873409,   11.312579,   19.954139,   29.527279,    1.642390,    1.622979,    0.058494,    1.798140,    0.057851,   40.140531,    0.612678,    0.433673,    0.000000,    0.000000
2011-08-01 00:00:00,103161.600000,    2.215724,    0.536178,  426.091647,   11.291013,   20.121089,   29.843593,    1.640901,    1.619409,    0.050194,    1.794087,    0.049557,   40.043130,    0.525464,    0.490433,    0.000000,    0.000000
2011-08-02 00:00:00,100267.200000,    2.686072,    0.535305,  422.191193,   11.255070,   20.242468,   30.137837,    1.637260,    1.613665,    0.042936,    1.787630,    0.042294,   39.892985,    0.449188,    0.558357,    0.000000,    0.000000
2011-08-03 00:00:00,96681.600000,    2.964889,    0.534880,  418.765657,   11.221884,   20.354738,   30.448747,    1.634079,    1.608215,    0.036703,    1.781503,    0.036044,   39.751101,    0.383656,    0.632594,    0.000000,    0.000000
2011-08-04 00:00:00,96768.000000,    3.174235,    0.535907,  415.949843,   11.202853,   20.480767,   30.806930,    1.632852,    1.604699,    0.031402,    1.777525,    0.030711,   39.657926,    0.327862,    0.706281,    0.000000,    0.000000
