time,flow,temp,salt,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_doc,OGM_poc,PHY_green,PHY_crypto,PHY_diatom
2011-07-01 00:00:00,47470841.548379,    5.089039,    0.518269,  192.697887,   12.031744,   12.224252,   22.619678,    0.279136,    1.251301,    7.989078,    1.443809,    7.989078,   38.405326,   75.559351,    0.038502,    0.000000,    0.000000
2011-07-02 00:00:00,17987.762030,    4.946888,    0.516752,  202.990947,   12.072198,   12.668254,   22.886806,    0.895188,    1.350104,    6.183371,    1.542854,    6.171302,   39.396027,   60.651119,    0.041725,    0.000000,    0.000000
2011-07-03 00:00:00, 9248.841245,    4.728319,    0.517029,  268.695089,   12.081085,   12.987426,   23.139118,    1.252090,    1.425329,    4.867318,    1.617804,    4.851040,   40.126693,   49.051954,    0.044752,    0.000000,    0.000000
2011-07-04 00:00:00,167296.736131,    4.666117,    0.518828,  303.030711,   11.949411,   13.135898,   23.148618,    1.491291,    1.468495,    3.815250,    1.658454,    3.797816,   40.259065,   39.400029,    0.047410,    0.000000,    0.000000
2011-07-05 00:00:00,198231.869723,    4.335190,    0.521625,  326.445051,   11.786771,   13.239110,   23.100517,    1.607604,    1.494014,    3.051764,    1.680982,    3.035389,   40.159960,   32.028713,    0.049829,    0.000000,    0.000000
2011-07-06 00:00:00,55948.875762,    3.252254,    0.523450,  373.279627,   11.722465,   13.455691,   23.240735,    1.605203,    1.521450,    2.579872,    1.707051,    2.566046,   40.294752,   27.070461,    0.052774,    0.000000,    0.000000
2011-07-07 00:00:00,41877.634310,    2.896066,    0.526443,  377.128086,   11.654375,   14.298091,   23.235088,    1.609534,    1.539652,    2.279962,    1.723726,    2.267732,   40.306439,   23.923478,    0.056181,    0.000000,    0.000000
2011-07-08 00:00:00,47076.973873,    2.473138,    0.530877,  383.124546,   11.540701,   13.845260,   23.388642,    1.593222,    1.548716,    1.844647,    1.730890,    1.834740,   40.169378,   19.355708,    0.060251,    0.000000,    0.000000
2011-07-09 00:00:00,47076.929893,    2.045783,    0.533404,  396.279628,   11.477780,   14.070494,   23.514701,    1.590524,    1.559177,    1.572293,    1.740130,    1.563836,   40.133006,   16.497874,    0.063989,    0.000000,    0.000000
2011-07-10 00:00:00,101305.073746,    1.729251,    0.535716,  398.544796,   11.385125,   14.261180,   23.574441,    1.583237,    1.562008,    1.340055,    1.741296,    1.332834,   39.955940,   14.060977,    0.067426,    0.000000,    0.000000
2011-07-11 00:00:00,99121.435718,    1.561279,    0.539732,  393.385233,   11.264363,   14.411037,   23.572422,    1.571506,    1.558188,    1.140616,    1.735387,    1.134456,   39.651233,   11.968244,    0.071126,    0.000000,    0.000000
2011-07-12 00:00:00,99044.078507,    1.400107,    0.543117,  388.904128,   11.155305,   14.646862,   23.575795,    1.561726,    1.553533,    0.977670,    1.728825,    0.972376,   39.360164,   10.258431,    0.075280,    0.000000,    0.000000
2011-07-13 00:00:00,103930.274054,    1.250479,    0.545578,  386.150277,   11.073174,   14.834536,   23.649824,    1.554773,    1.550879,    0.836543,    1.724717,    0.831998,   39.148276,    8.777569,    0.080133,    0.000000,    0.000000
2011-07-14 00:00:00,94005.211865,    1.118253,    0.544965,  386.463746,   11.067024,   15.122665,   23.886245,    1.558275,    1.557359,    0.721241,    1.730944,    0.717306,   39.189312,    7.567678,    0.086076,    0.000000,    0.000000
2011-07-15 00:00:00,68149.741992,    0.955606,    0.542462,  390.695018,   11.112040,   15.403714,   24.252610,    1.568262,    1.569993,    0.622000,    1.744150,    0.618590,   39.402721,    6.526318,    0.093178,    0.000000,    0.000000
2011-07-16 00:00:00,31788.285426,    0.946325,    0.541490,  389.198439,   11.144438,   16.172684,   24.483562,    1.579844,    1.578940,    0.563322,    1.753366,    0.560215,   39.536867,    5.910570,    0.100063,    0.000000,    0.000000
