time,ShortWave,Cloud, AirTemp,RelHum, WindSpeed,Rain,Snow
2010-07-01 01:00:00,0,0.613069581,11.45,81.975,9.04,0,0
2010-07-01 02:00:00,0,0.613069581,10.225,85.75,7.99,0,0
2010-07-01 03:00:00,0,0.613069581,11.2,82.475,7.1375,0,0
2010-07-01 04:00:00,0,0.613069581,10.725,87.325,6.64,0,0
2010-07-01 05:00:00,0,0.613069581,10.45,87.325,5.6525,0,0
2010-07-01 06:00:00,0,0.613069581,10.3,86.525,4.025,0,0
2010-07-01 07:00:00,9.916666667,0.613069581,10.775,84.975,5.225,0,0
2010-07-01 08:00:00,127.3333333,0.613069581,11.4,83.05,5.4725,0,0
2010-07-01 09:00:00,317.05,0.613069581,12.2,81.7,6.7925,0,0
2010-07-01 10:00:00,433.4833333,0.613069581,12.825,83.45,6.8975,0,0
2010-07-01 11:00:00,473.1666667,0.613069581,13.325,83.525,7.4675,0,0
2010-07-01 12:00:00,491.9166667,0.613069581,14,78.425,7.9475,0,0
2010-07-01 13:00:00,411.4,0.613069581,14.325,77.25,7.4775,0,0
2010-07-01 14:00:00,260.4166667,0.613069581,14.975,71.725,7.0425,0,0
2010-07-01 15:00:00,110.65,0.613069581,14.575,70.15,6.835,0,0
2010-07-01 16:00:00,28.36666667,0.613069581,13.55,74.5,5.3425,0,0
2010-07-01 17:00:00,0.566666667,0.613069581,11.775,84.625,4.595,0,0
2010-07-01 18:00:00,0,0.613069581,11.125,86.325,4.6775,0,0
2010-07-01 19:00:00,0,0.613069581,10.4,87.225,3.5675,0,0
2010-07-01 20:00:00,0,0.613069581,9.925,84.975,3.1275,0,0
2010-07-01 21:00:00,0,0.613069581,9.35,86.45,2.3325,0,0
2010-07-01 22:00:00,0,0.613069581,9.5,86.125,2.87,0,0
2010-07-01 23:00:00,0,0.613069581,9.975,88.8,3.365,0,0
2010-07-02 00:00:00,0,0.653422224,10.2,87.2,4.245,0.0003,0
2010-07-02 01:00:00,0,0.653422224,10.05,84.2,4.7625,0,0
2010-07-02 02:00:00,0,0.653422224,9.7,86.425,4.13,0,0
2010-07-02 03:00:00,0,0.653422224,9,88.825,3.3425,0,0
2010-07-02 04:00:00,0,0.653422224,9.125,87,3.68,0,0
2010-07-02 05:00:00,0,0.653422224,9.075,86.375,3.5475,0,0
2010-07-02 06:00:00,0,0.653422224,9.35,85.05,3.815,0,0
2010-07-02 07:00:00,13.18333333,0.653422224,8.7,86.825,2.545,0,0
2010-07-02 08:00:00,128.4166667,0.653422224,9.45,84.6,2.925,0,0
2010-07-02 09:00:00,217.8666667,0.653422224,11.125,78.85,4.1725,0,0
2010-07-02 10:00:00,373.1833333,0.653422224,12.5,78.475,5.7175,0,0
2010-07-02 11:00:00,470.9833333,0.653422224,12.925,75.6,7.18,0,0
2010-07-02 12:00:00,444.25,0.653422224,12.65,78.95,6.4,0,0
2010-07-02 13:00:00,347.6333333,0.653422224,12.95,76.3,6.805,0,0
2010-07-02 14:00:00,319.4333333,0.653422224,13.15,75.6,7.66,0,0
2010-07-02 15:00:00,184.8833333,0.653422224,13.375,75.3,8.72,0,0
2010-07-02 16:00:00,50.31666667,0.653422224,12.775,81.85,7.7725,0,0
2010-07-02 17:00:00,0.616666667,0.653422224,11.95,87.225,8.435,0,0
2010-07-02 18:00:00,0,0.653422224,11.825,87.675,7.1375,0,0
2010-07-02 19:00:00,0,0.653422224,11.925,84.35,6.335,0,0
2010-07-02 20:00:00,0,0.653422224,12.125,76.475,6.115,0,0
2010-07-02 21:00:00,0,0.653422224,12.1,75.5,5.495,0,0
2010-07-02 22:00:00,0,0.653422224,12.35,75.15,6.505,0,0
2010-07-02 23:00:00,0,0.653422224,12.3,76.375,6.9825,0,0
2010-07-03 00:00:00,0,0.683259299,11.75,78.775,5.9625,0,0
2010-07-03 01:00:00,0,0.683259299,12,77.3,6.9175,0,0
2010-07-03 02:00:00,0,0.683259299,11.6,79.625,7.1775,0,0
2010-07-03 03:00:00,0,0.683259299,11.95,73.925,6.1125,0,0
2010-07-03 04:00:00,0,0.683259299,11.975,81.8,5.5875,0,0
2010-07-03 05:00:00,0,0.683259299,12.2,83.05,5.8675,0,0
2010-07-03 06:00:00,0,0.683259299,12.325,80.1,5.785,0,0
2010-07-03 07:00:00,16.38333333,0.683259299,12.025,86.075,5.7825,0,0
2010-07-03 08:00:00,179.25,0.683259299,12.55,87.575,5.765,0,0
2010-07-03 09:00:00,295.8,0.683259299,13.475,81.975,7.085,0,0
2010-07-03 10:00:00,401.6,0.683259299,14.05,83.325,7.3125,0,0
2010-07-03 11:00:00,461.8,0.683259299,14.45,80.85,8.535,0,0
2010-07-03 12:00:00,343.4166667,0.683259299,14.45,80.85,7.835,0,0
2010-07-03 13:00:00,255.95,0.683259299,14.175,84,7.365,0,0
2010-07-03 14:00:00,279.4333333,0.683259299,14.575,82.55,7.155,0,0
2010-07-03 15:00:00,178.8333333,0.683259299,13.475,87.1,6.17,0,0
2010-07-03 16:00:00,51.1,0.683259299,13.45,85.675,5.5,0,0
2010-07-03 17:00:00,0.533333333,0.683259299,12.775,88.925,3.8,0,0
2010-07-03 18:00:00,0,0.683259299,12.425,91.55,2.69,0,0
2010-07-03 19:00:00,0,0.683259299,12.5,91.75,3.6525,0,0
2010-07-03 20:00:00,0,0.683259299,12.2,89.825,3.355,0,0
2010-07-03 21:00:00,0,0.683259299,12.05,88.925,2.9675,0,0
2010-07-03 22:00:00,0,0.683259299,11.9,89.175,2.7075,0,0
2010-07-03 23:00:00,0,0.683259299,11.825,88.9,2.625,0,0
2010-07-04 00:00:00,0,0.552302438,12.225,88.25,3.28,0.0003,0
2010-07-04 01:00:00,0,0.552302438,12.725,83.475,3.8175,0,0
2010-07-04 02:00:00,0,0.552302438,12.55,83.1,3.675,0,0
2010-07-04 03:00:00,0,0.552302438,12.25,86.225,2.8075,0,0
2010-07-04 04:00:00,0,0.552302438,11.475,87.8,2.2125,0,0
2010-07-04 05:00:00,0,0.552302438,12.125,87.25,3.44,0,0
2010-07-04 06:00:00,0,0.552302438,12.25,88.875,3.1775,0,0
2010-07-04 07:00:00,16.96666667,0.552302438,11.275,87.775,2.0125,0,0
2010-07-04 08:00:00,155.7833333,0.552302438,11.55,89.975,1.435,0,0
2010-07-04 09:00:00,297.7166667,0.552302438,13.925,82.55,3.425,0,0
2010-07-04 10:00:00,409.25,0.552302438,14.025,81.825,4.815,0,0
2010-07-04 11:00:00,465.3833333,0.552302438,14.725,77.2,5.4575,0,0
2010-07-04 12:00:00,467.55,0.552302438,14.825,76.9,5.4325,0,0
2010-07-04 13:00:00,454,0.552302438,14.6,77.9,5.5725,0,0
2010-07-04 14:00:00,363.75,0.552302438,14.375,73,4.91,0,0
2010-07-04 15:00:00,188.5166667,0.552302438,13.85,75.65,4.91,0,0
2010-07-04 16:00:00,44.66666667,0.552302438,13.2,78.325,3.5425,0,0
2010-07-04 17:00:00,0.216666667,0.552302438,12.9,76.45,3.76,0,0
2010-07-04 18:00:00,0,0.552302438,12.5,73.45,3.19,0,0
2010-07-04 19:00:00,0,0.552302438,12.225,76.15,3.035,0,0
